Country,Gold_medal,Silver_medal,Bronze_medal,Total
USA,1035,802,708,2545
URS,394,317,294,1005
GBR,278,317,300,895
GER,235,261,283,779
FRA,234,256,287,777
CHN,227,162,153,542
ITA,219,191,198,608
HUN,178,154,172,504
RUS,153,143,164,460
GDR,153,129,127,409
SWE,150,175,188,513
AUS,147,167,192,506
JPN,142,134,161,437
FIN,104,86,120,310
KOR,90,85,89,264
NED,88,97,114,299
ROU,88,95,120,303
CUB,77,67,70,214
POL,69,87,134,290
CAN,64,104,137,305
NOR,59,51,48,158
SUI,58,82,69,209
FRG,56,67,81,204
BUL,51,86,80,217
TCH,49,50,47,146
DEN,49,81,82,212
NZL,47,27,44,118
EUN,45,38,29,112
BEL,44,59,63,166
ESP,44,63,41,148
GRE,42,57,52,151
TUR,40,27,28,95
UKR,35,32,59,126
KEN,31,38,31,100
BRA,30,36,62,128
AUT,26,40,42,108
YUG,26,29,28,83
RSA,25,33,30,88
JAM,22,32,22,76
ETH,22,9,22,53
ARG,21,25,28,74
KAZ,19,22,29,70
IRI,18,21,29,68
PRK,16,15,23,54
CZE,15,17,22,54
BLR,13,28,43,84
MEX,13,24,30,67
CRO,11,10,12,33
THA,9,8,13,30
SVK,9,11,8,28
IND,9,7,12,28
EST,9,9,16,34
UZB,9,7,17,33
IRL,9,11,13,33
GEO,8,6,18,32
AZE,7,12,25,44
INA,7,12,11,30
EGY,7,8,12,27
MAR,6,5,12,23
BAH,6,2,6,14
LTU,6,6,13,25
SLO,5,8,10,23
ALG,5,4,8,17
COL,5,9,14,28
POR,4,8,12,24
LUX,4,2,0,6
DOM,3,2,2,7
TUN,3,3,7,13
TPE,3,7,14,24
NGR,3,8,13,24
CMR,3,1,1,5
LAT,3,11,5,19
PAK,3,3,4,10
TTO,3,5,11,19
ANZ,3,4,5,12
SRB,3,6,6,15
ZIM,3,4,1,8
URU,2,2,6,10
UGA,2,3,2,7
MGL,2,10,14,26
VEN,2,3,10,15
CHI,2,7,4,13
ARM,2,5,9,16
SCG,2,4,3,9
SUR,1,0,1,2
BDI,1,1,0,2
FIJ,1,0,0,1
CRC,1,1,2,4
PAN,1,0,2,3
TJK,1,1,2,4
ECU,1,1,0,2
SYR,1,1,1,3
KOS,1,0,0,1
CIV,1,1,1,3
UAE,1,0,1,2
ISR,1,1,7,9
IOA,1,1,3,5
PER,1,3,0,4
MOZ,1,0,1,2
JOR,1,0,0,1
SGP,1,2,2,5
HKG,1,1,1,3
BRN,1,1,1,3
PUR,1,2,6,9
GRN,1,1,0,2
VIE,1,3,0,4
HAI,1,1,1,3
